ID,user_id,user_tag,text
6.82839519859728E+017,271297553,dunstablian,"John su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/nF8PcQYZKz £500.000.000.000 so far...."""
6.82839605796823E+017,271297553,dunstablian,"John su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/nF8PcQYZKz Cameron is a MORON"""
6.82839702429405E+017,135263108,account,
6.82825551019643E+017,843864625,goldmynenaija,"Goldmyne Entertainment su Twitter: ""Hottest jam in town #Power_By_4RealEze     cc @4real042  @DonMaseratte042 on Notjustok . https://t.co/m9HTfR1flJ … … … …"""""""
6.82840770676523E+017,777687276,,
6.8284367824359E+017,777687276,account,
6.82829719570526E+017,3293819495,KevinClark771,"Kevin su Twitter: ""Well fuck"""
6.82844861859508E+017,2751796116,FXS_Finance_FR,"Dukascopy News (FR) su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 #Finances #Matières premières https://t.co/x9lDxcChsB"""
6.82845012296507E+017,2962824201,dlEstonia,"Estonia News Links su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit: But taxpayers' cash ... https://t.co/EtOHiAx9L4"""
6.82845906010391E+017,1574971939,Econ_Markets,"Gary su Twitter: ""Early Headlines: Oil Looks Down For 2016, El Nino Yet To Peak, Brexit Weakens EU, Munich IS Threat, Russia Say... https://t.co/ErjHbOsuLG"""
6.82847443478802E+017,17836555,mummygirl,"Mummygirl/ Bev Stein su Twitter: ""@Charles20ah24s @ThomasEvansUKIP Nothing to lose by telling people that. So why won't he? Brexit?"""
6.82832372363063E+017,138579043,account,
6.8284889300507E+017,2220945398,,
6.8284901430854E+017,34637101,MichaelAbberton,"Michael Abberton 🌹🌍☯️☸️📿 su Twitter: ""@whiskycomandant Haven't gone off topic, but never mind. 
If UKIP didn't exist, I'd vote for brexit."""
6.82835710970233E+017,3293819495,account,
6.82835711867802E+017,3293819495,,
6.8285216314454E+017,2838333676,boblister_poole,"Bob For A Full Brexit su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit. Cameron is a fraud! https://t.co/cJe6DGWMxu"""
6.82852248322503E+017,100940918,richryan55,"Richard Ryan su Twitter: ""#Money #Business Pound Volatility Surges as Biggest Trader Sees `Brexit' Discount https://t.co/9tS1z3thCP via @markets"""
6.82852680365175E+017,938788579,Martinunterlaa,"Martin B su Twitter: ""@AnthonyGlees  1/2 
I fully agree! On a selfish note: As frequent visitor of your beautiful country I hope for continuous Brexit discussions"""
6.82837980575347E+017,3041375236,ReebarrRees,"On Reflection su Twitter: ""@bloefeld437 Exactly...he must think we can't figure out the problem - Cameron's  humongous white pet elephant in the corner - #Brexit"""
6.82838731531878E+017,167419922,matisaksk,"Andrej Matisak su Twitter: ""#Europe set for a fundamental clash of ideas https://t.co/56v0DsCb3s via @BBCWorld  #politics #refugeecrisis #Brexit #EU"""
6.82839113066754E+017,2663116351,dinky1950sf,"Steve Foster su Twitter: ""#sky If SIR Brendan Barber wants to stay in the EU? I'm definitely Voting OUT. #Brexit #leave"""
6.82839546803794E+017,2751594014,,
6.8284062665266E+017,31075190,JoannieCo,"Joan Collins #CorbynWasRight🌹 su Twitter: ""Lets hope #Hello2016 will mean #GoodbyeEU! #Brexit #no2EU"""
6.82855919236022E+017,132541849,jamaislu,"Jacques Morissette su Twitter: ""International: Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/Nvw7o2lEC4, see more https://t.co/bnfrzIUEet"""
6.82841476624179E+017,4448893401,susanandjohnte1,"somebody else su Twitter: ""@busybuk It's a long road ahead, we have the confidence so we must inspire others towards #Brexit."""
6.82842536004727E+017,274405751,US_of_Europe,"Ken Jack su Twitter: ""What if #EUref says ""out"" but Brussels says ""no"" to #Brexit ? Read ""United States of Europe""  https://t.co/HZeq796o8Y #eu #euref"""
6.82842927291363E+017,102691451,mr_stephen_moss,"STEVE MOSS Ⓥ 🌹 ♑🌍☘️ #RockMusic #ClimateEmergency su Twitter: ""If electorate is smart enough to #LeaveEU & vote #brexit, will they follow up by dumping this dreadful Tory govt? https://t.co/IuFIj1xash"""
6.82843202068607E+017,297286429,lasancmt,"🕷️ Eurotrash🇪🇺Lasance 🕷️ su Twitter: ""May 2016 be the year these #brexit fanatics' worst nightmare becomes true and Great Britain chooses to lead rather than leave EU"""
6.82858403560043E+017,30317781,missloren60,"harley lewis su Twitter: ""Brexit would be 'biggest political earthquake' for Europe since fall of Berlin Wall https://t.co/wAifB5pBKt"""
6.82858911788089E+017,563108976,GreggatQuest,"Gregg. su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/iOnFuPiyhk"""
6.8285898214332E+017,2737029641,,
6.82858979492524E+017,2737029641,,
6.8284446438212E+017,102691451,mr_stephen_moss,"STEVE MOSS Ⓥ 🌹 ♑🌍☘️ #RockMusic #ClimateEmergency su Twitter: ""@AndyCavster @RedHotSquirrel No Andy, on the porridge & toast!! Big market but deal's rotten! #brexit"""
6.82859714426847E+017,1665457951,DutchNewspapers,"DutchNewspapers su Twitter: ""Brexit, TTIP en vluchtelingen: banenenschillen voor de EU in 2016 https://t.co/pzl7da0piJ #Nieuws #Nederland"""
6.8286072022938E+017,2723660593,,
6.8286076132932E+017,3145601770,account,
6.8284616660265E+017,66173189,flexdream,"Felix su Twitter: ""EU boasts of foreign trade deals.  EFTA in Single Market. EU in WTO. But EUfans say EU would hinder trade with biggest market UK? #brexit"""
6.82846407611515E+017,3041375236,ReebarrRees,"On Reflection su Twitter: ""@David_Cameron Wish I could return your fake wish but you're a political disgrace to UK...so utterly embarrassed/ashamed of you. #Brexit"""
6.82861712282907E+017,236339055,cocoa1958,"paul colin kilbride su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/Oh8hYWiJgo"""
6.82862297921024E+017,325168795,,
6.82847814007783E+017,102691451,mr_stephen_moss,"STEVE MOSS Ⓥ 🌹 ♑🌍☘️ #RockMusic #ClimateEmergency su Twitter: ""@AndyCavster @RedHotSquirrel Trade deals/tough negotiations ahead but #brexit better for UK unless Cameron renegotiates a miracle! No chance"""
6.82848027099398E+017,54153498,,
6.82849270496649E+017,2370630903,teabetty53,"Susan Hammler su Twitter: ""Brussels to Britain - Happy New Year, writes RICHARD LITTLEJOHN https://t.co/d0mqGH6Djk @MailOnline : #Brexit in doubt? read this!"""
6.8286474817885E+017,145637907,,
6.82865254146028E+017,3238875658,NaionsNewspaper,"جريدة الأمم su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/fWsRPdxYcd"""
6.82865623517381E+017,2962824201,dlEstonia,"Estonia News Links su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit: But taxpayers' cash ... https://t.co/jQW0JyWe5X"""
6.82865826953884E+017,2282325169,LucaTentoni1,"Luca Tentoni su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/YTvQFd3SoB"""
6.82865881286881E+017,180834935,,
6.82850849928966E+017,328577933,Akabilky,"So called Alan su Twitter: ""@lasancmt
Happy New Year.

UK lead in EU?

Know the history of UK wanting EU to be intergovernmental not supranational?

#Brexit"""
6.82850948742517E+017,2762592056,Stop_The_EU,"Stop the EU 🇬🇧 su Twitter: ""Time to LEAVE the EU
#brexit #VoteLeave #EUref #StopTheEU
Facebook https://t.co/6eZWJrJQFK 
https://t.co/qYZaVtW6kc https://t.co/QABcJFR3Rd"""
6.82866494494097E+017,15491330,rahulanand,"Rahul su Twitter: ""Via @FT : Clinton as President , No Brexit, Crude above $50 , Rmb devalued and yeah India might need IMF's help ! https://t.co/xouJHj8oMP"""
6.8285148697661E+017,297286429,lasancmt,"🕷️ Eurotrash🇪🇺Lasance 🕷️ su Twitter: ""Congratulations France shame on Britain

#brexit https://t.co/AxeqgYPKDK"""
6.82852000015479E+017,328577933,Akabilky,"So called Alan su Twitter: ""@Wake_up_Europe
Anything to do with EU is described as 'populist' when it is what the people want.
#Brexit"""
6.82852037038584E+017,24862210,,
6.8286736776498E+017,2170986966,sandieshoes,"sandieshoes su Twitter: ""@glasterlaw1 my concern is that he will put the undecided off #Brexit."""
6.82868026153284E+017,139142932,Maurice97ILF,"M A S su Twitter: ""@johnwedgey Surely after Brexit no politician who as campaigned for the EU and not for Britain can remain in office."""
6.82852950373446E+017,328577933,Akabilky,"So called Alan su Twitter: ""@AndyCavster @WantEnglandBack 
Morning Andy, Happy New Year!

May the new year bring #Brexit joy to us all!"""
6.82852985492378E+017,2875647729,,
6.82853061916791E+017,297286429,lasancmt,"🕷️ Eurotrash🇪🇺Lasance 🕷️ su Twitter: ""@Akabilky UK has always been a leader in EU until spineless Camoron started pandering to likes of garage who is a broken #brexit record joke"""
6.82853817537458E+017,123962559,,
6.82854241434743E+017,328577933,,
6.82869699181412E+017,546758838,BartiRutkowski,"Bartek Rutkowski su Twitter: ""4 palące kwestie w tym roku: 1)Czy będą wcześniejsze wybory samorządowe 2)Zmiany @SchetynadlaPO na DŚ 3)Brexit 4) Wybory do Parlamentu na BY"""
6.82854609908568E+017,3041375236,ReebarrRees,"On Reflection su Twitter: ""@debatingeurope @EUWatchers #EU destabilised Europe & now dysfunctional corrupt overcrowded unsafe Undemocratic a hellish Fed Union #Brexit"""
6.82854680079299E+017,102691451,mr_stephen_moss,"STEVE MOSS Ⓥ 🌹 ♑🌍☘️ #RockMusic #ClimateEmergency su Twitter: ""@AndyCavster @RedHotSquirrel As in 75, I fear scaremongering might prompt electorate to stay but I'll push hard for #brexit. Happy New Year"""
6.82855135274496E+017,297286429,PensriV,"pensri vaeingnon su Twitter: ""https://t.co/2zqyQKhB9J"""
6.82870323969147E+017,14685924,michaelwhite,"MichaelWhite su Twitter: ""It was one MW point, yes. Hague exploited/inflamed Brexit mood, took Tories out of EPP (foolish) etc. Genie Bottle? https://t.co/cd2WfNtHGE"""
6.82855338576445E+017,3293819495,account,
6.82855875044897E+017,54153498,,
6.82871201400795E+017,229446071,ncr16,"Neil Rogers su Twitter: ""Trade Unions support EU membership even though it's been responsible for wage suppression of UK workers! Brexit"""
6.82856140737278E+017,328577933,Akabilky,"So called Alan su Twitter: ""@AndyCavster @WantEnglandBack
Even if we vote for #Brexit politicians and EU will force as much status quo on UK as possible."""
6.82856210681475E+017,577670568,gasolinebrother,"Leon [The Yearlings] su Twitter: ""De weeïge lucht van de keuken na oudejaarsavond."""
6.8285645710524E+017,16270167,BevEmans,"Crystalrose su Twitter: ""One resolution for this New Year & that is to see my beloved Country #Brexit #LeaveEU regain her Sovereignty & trade as a proud Nation again"""
6.82856526650962E+017,289511094,bernerlap,"Ann Sheridan #PeoplesProrogue su Twitter: ""Mrs Dale reckons the referendum will be in July, slap bang in the middle of another migrant crisis #Brexit #winning https://t.co/xSRpgTikhD"""
6.82856711414247E+017,297286429,lasancmt,"🕷️ Eurotrash🇪🇺Lasance 🕷️ su Twitter: ""@Akabilky dealing with stupid voters is a politician's job

Smart voters realise this, just not you it seems?

#brexit is economic suicide"""
6.82857572769133E+017,240192814,Blackbirds1632,"Phil su Twitter: ""@stardust193 Happy New Year. Suns up. Decorations Down. House put straight. Start as we mean to go on #LeaveEU #Brexit"""
6.82858355224916E+017,328577933,Akabilky,"So called Alan su Twitter: ""@AndyCavster @WantEnglandBack
The 'British Question' will never settled whilst we are in the EU.
#Brexit"""
6.82874253453165E+017,249880957,kevinfitts,"Kevin su Twitter: ""#FutureWorldNews World Policy On Air, Ep. 48: Reforming the EU or ""Brexit"" https://t.co/S5SoqQv1Xe Follow KevinFitts"""
6.8287480830507E+017,1665457951,DutchNewspapers,"DutchNewspapers su Twitter: ""Brexit, TTIP en vluchtelingen: bananenschillen voor de EU in 2016 https://t.co/1tD8M8ukmp #Nieuws #Nederland"""
6.82875672717582E+017,17875880,SPIEGEL_Wirtsch,"SPIEGEL Wirtschaft su Twitter: ""EU-Schicksalswahl: 2016 - das Jahr des drohenden Brexit... https://t.co/NySBF1lhjT"""
6.828756727134E+017,17807719,SPIEGEL_alles,"SPIEGEL Ticker su Twitter: ""EU-Schicksalswahl: 2016 - das Jahr des drohenden Brexit... https://t.co/4L6wfFB6Rf"""
6.82860981337387E+017,328577933,Akabilky,"So called Alan su Twitter: ""@lasancmt

Lying on a historic scale is just 'dealing with voters'.

And you support the EU.

Makes sense.

#Brexit"""
6.82861053533897E+017,87498576,SimonatSaltus,"Simon Armstrong su Twitter: ""If UK votes #Brexit, negotiations over Britain’s exit should be handled by Cameron with his great experience of Europe. - Lord Baker."""
6.82876199337615E+017,630321437,slaakgol,"Sıla su Twitter: ""@dvrmakgl  geldin bide bana burda şekil şukul yapıyon 😂😂"""
6.82876674871017E+017,141383006,Hillchaser,"Bas su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/Ct7PLWUtDT"""
6.82861974485623E+017,328577933,Akabilky,"So called Alan su Twitter: ""@lasancmt The one where the Dutch rejected an EU constitution.

Was that only 'not smart' people?

Or the French who did the same?

#Brexit"""
6.8287711917353E+017,777687276,,
6.82862082702721E+017,34937510,WrittleOfficial,"Writtle Uni College su Twitter: ""Four weeks to go until the Farmhouse Breakfast & #Brexit Debate on Fri 29 Jan 8am to 10am https://t.co/PlvOnJteMq"""
6.82862237216838E+017,328577933,Akabilky,"So called Alan su Twitter: ""@lasancmt
Or the Irish who had to vote twice?

And you talk to me about democracy?

I'm wondering how smart that is?

#Brexit"""
6.82862492767367E+017,328577933,Akabilky,"So called Alan su Twitter: ""@lasancmt
How smart is it to think anyone in 'Europe' wants trade to be disrupted by #Brexit ?"""
6.82877619474428E+017,3394811787,,
6.82877860110021E+017,1634763686,BWBreaking,"BW Breaking News su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 - https://t.co/3CLmnh9OgI https://t.co/a5XRRLrY7B"""
6.82878082945008E+017,1119922741,woli2017,"(# 214 bei Böhmermann) gab.ai/woli2017 su Twitter: ""@vilimsky Hoffnung darf man ja wohl noch haben... Brexit, Fixit, Grexit?, und viele Feinde der Gesinnungsdiktatur. Öxit ab 2018? ;-)"""
